decade,title ,budget,worldwide gross, budget recovered,domestic gross,domestic ,international gross,international ,year
2000's,Paranormal Activity ,0.015,194,1293333,107.9,55.6,85.4,44,2009
2010's,Sleight,0.25,4,1572,3.9,100,0,0,2017
1990's,Blair Witch Project,0.15,248,165333,140,56.4,108,43.6,1999
2000's,Fireproof,0.5,33,6696,33.5,99.9,0,0.1,2008
2000's,Under the Same Moon,1.7,23,1371,12.6,54,10.7,46,2008
2000's,Waitress,2,22,1109,19.1,86,3.1,14,2007
2000's,Semi-Pro,2.6,44,1688,33.5,76.3,10.4,23.7,2008
2000's,My Big Fat Greek Wedding,5,369,7375,241,65.5,127,34.5,2002
1970's,Grease,6,396,6605,190,48,206,52,1978
2000's,Juno,7.5,231,3082,143.5,62.1,87.7,37.9,2007
1970's,Jaws,9,477,5295,266,55.8,211,44.2,1975
1980's,Crocodile Dundee,10,328,3282,175,53.3,153,46.7,1986
2000's,Saw IV,10,139,1394,63.3,45.4,76.1,54.6,2007
1980's,E.T.,10.5,793,7552,437,55.1,356,44.9,1982
2000's,Saw V,10.8,114,1054,56.8,49.8,57.1,50.2,2008
2000's,High School Musical 3,11,253,2299,90.6,35.8,162.4,64.2,2008
1970's,Star Wars,11,775,7049,461,59.4,314,40.6,1977
1970's,The Exorcist,12,441,3678,233,52.8,208,47.2,1973
1980's,Beverly Hills Cop,13,316,2434,235,74.2,82,25.8,1984
1980's,Fatal Attraction,14,320,2287,157,48.9,164,51.1,1987
1990's,Pretty Woman,14,463,3310,178,38.5,285,61.5,1990
1990's,American Beauty,15,356,2375,130,36.5,226,63.5,1999
2010's,Halloween ,10,254,2537,159.3,62.8,94.3,37.2,2018
2000's,Slumdog Millionaire,15,378,2523,141,37.4,237,62.6,2008
2010's,Get Out,4.5,254,5652,175.5,69,78.8,31,2017
2010's,Annabelle,6.5,255,3927,84.3,33,171,67,2014
1980's,Top Gun,15,357,2382,180,50.4,177,49.6,1986
2010's,Neighbors,18,268,1490,150.2,56,118,44,2014
2010's,Split,9,278,3092,138.1,49.6,140.2,50.4,2017
1990's,Home Alone,18,477,2648,286,60,191,40,1990
2010's,Twilight: Eclipse        ,68,301,442,300.5,100,398,132.4,2010
1990's,The Mask,18,352,1953,120,34.1,232,65.9,1994
1980's,Back to the Future,19,383,2018,213,55.5,171,44.5,1985
2000's,Spirited Away,19,356,1872,14,3.9,342,96.1,2001
2010's,Annabelle: Creation,15,306,2039,102.1,33.4,203.7,66.6,2017
2010's,The Fault in our Stars,12,307,2560,124.9,40.6,182.4,59.4,2014
1980's,Raiders of the Lost Ark,20,390,1950,248,63.6,142,36.4,1981
2010's,Little Fockers,100,311,311,148,47.8,162,52.2,2010
2010's,The Lego Batman Movie,80,312,390,176,56.4,136,43.6,2017
2010's,Maze Runner: The Scorch Trials,61,312,512,82,26.2,231,73.8,2015
1990's,Dances with Wolves,22,424,1928,184,43.4,240,56.6,1990
1990's,Schindler's List,22,322,1464,97,30.1,225,69.9,1993
2010's,Resident Evil: The Final Chapter,40,312,781,27,8.6,285,91.4,2016
1990's,Ghost,23,506,2199,218,43,288,57,1990
2010's,Knives Out,40,313,782,165,52.8,148,47.2,2019
1990's,There's Something About Mary,23,370,1608,176,47.7,193,52.3,1998
1990's,Beauty and the Beast,25,425,1700,219,51.5,206,48.5,1991
1990's,Mrs. Doubtfire,25,441,1765,219,49.7,222,50.3,1993
1980's,Rain Man,25,355,1419,173,48.7,182,51.3,1988
1990's,The Bodyguard,25,411,1644,122,29.7,289,70.3,1992
1990's,Aladdin,28,504,1800,217,43.1,287,56.9,1992
1990's,Home Alone 2,28,359,1282,174,48.4,185,51.6,1992
1980's,Indiana Jones and the Temple of Doom,28,333,1190,180,54,153,46,1984
2000's,The Blind Side ,29,309,1066,256,82.8,53.2,17.2,2009
2010's,The Expendables 2,100,315,315,85,27,230,73,2012
1990's,Se7en,30,327,1091,100,30.6,227,69.4,1995
2000's,The Passion of the Christ,30,612,2040,371,60.6,241,39.4,2004
1990's,Toy Story,30,394,1315,223,56.6,171,43.4,1995
1980's,Empire Strikes Back,31,538,1737,293,54.4,246,45.6,1980
1990's,Austin Powers: The Spy Who Shagged Me,33,312,946,206,66,106,34,1999
2010's,The Last Airbender,150,320,213,132,41.2,188,58.8,2010
1990's,Lethal Weapon 3,35,322,919,145,45,177,55,1992
2000's,The Devil Wears Prada,35,327,933,125,38.2,202,61.8,2006
2000's,The Hangover,35,469,1341,277,59.1,192,40.9,2009
2010's,The Conjuring,20,320,1602,137,42.9,183,57.1,2013
1990's,Speed,37,350,947,121,34.6,229,65.4,1994
2000's,Twilight,37,408,1104,194,47.5,214,52.5,2008
2010's,Robin Hood,198,322,162,105,32.7,216,67.3,2010
1980's,Back to the Future II,40,333,831,119,35.8,214,64.2,1989
2010's,Megamind,130,322,248,148,46.1,173,53.9,2010
2010's,The Conjuring 2,40,322,805,103,31.8,219,68.2,2016
2010's,Green Book,23,322,1399,85,26.4,237,73.6,2018
2010's,The SpongeBob Movie: Sponge Out of Water,74,325,439,163,50.1,162,49.9,2015
2010's,Taken 3,48,326,680,89,27.3,237,72.7,2015
2010's,John Wick: Chapter 3 - Parabellum,75,328,438,171,52.1,157,47.9,2019
2000's,The Proposal,40,317,793,164,51.7,153,48.3,2009
1990's,The Sixth Sense,40,673,1682,294,43.6,379,56.4,1999
1990's,Notting Hill,42,364,866,116,31.9,248,68.1,1999
1980's,Return of the Jedi,43,475,1105,309,65.1,166,34.9,1983
1990's,The Fugitive,44,369,838,184,49.8,185,50.2,1993
2010's,Black Swan,13,329,2534,107,32.5,222,67.5,2010
1990's,The Lion King,45,1064,2364,423,39.8,641,60.2,1994
1990's,The Flintstones,46,342,743,131,38.2,211,61.8,1994
1980's,Batman,48,412,857,251,61.1,160,38.9,1989
1980's,Indiana Jones & the Last Crusade,48,474,988,197,41.6,277,58.4,1989
1990's,Robin Hood: Prince of Thieves,48,390,814,165,42.4,225,57.6,1991
2010's,22 Jump Street,50,331,663,192,57.9,140,42.1,2014
1990's,Basic Instinct,49,353,720,118,33.4,235,66.6,1992
2010's,The Good Dinosaur,200,332,166,123,37,209,63,2015
1990's,As Good as It Gets,50,314,628,148,47.3,166,52.7,1997
2010's,Now You See Me 2,120,335,279,65,19.4,270,80.6,2016
2000's,Twilight: New Moon,50,711,1422,298,41.9,413,58.1,2009
1980's,Who Framed Roger Rabbit,50,330,660,156,47.4,173,52.6,1988
1990's,Apollo 13,52,355,683,174,48.9,181,51.1,1995
2010's,Journey 2: The Mysterious Island,80,335,419,104,31,231,69,2012
2000's,Catch Me If You Can,52,352,677,165,46.8,187,53.2,2002
2000's,Mamma Mia!,52,611,1175,144,23.6,467,76.4,2008
2010's,300: Rise of an Empire,110,338,307,107,31.6,231,68.4,2014
2010's,A Quiet Place,17,341,2006,188,55.2,153,44.8,2018
1990's,Forrest Gump,55,678,1233,330,48.7,348,51.3,1994
2000's,Meet the Parents,55,330,601,166,50.3,164,49.7,2000
2010's,Star Trek Beyond,185,343,186,159,46.2,185,53.8,2016
1990's,Pocahontas,55,346,629,142,40.9,205,59.1,1995
2000's,A Beautiful Mind,58,317,546,171,53.9,146,46.1,2001
2010's,Alvin and the Chipmunks: Chipwrecked,80,343,428,133,38.8,210,61.2,2011
2010's,xXx: Return of Xander Cage,85,346,407,45,13,301,87,2017
1990's,GoldenEye,60,352,587,106,30.2,246,69.8,1995
2000's,Ice Age,60,383,639,176,46,207,54,2002
2000's,Shrek,60,488,814,268,54.9,220,45.1,2001
2010's,Trolls,125,347,278,154,44.4,193,55.6,2016
